cultivar;entrada;bloue;tratamiento;parcela;cod_parcela;num_planta;DDS;tallo_flora_curvatura;tallo_floral_bulbillo;follaje_porte;num_hojas;forma_longitudinal;posicion_dientes_extrbulb;forma_base;distribución_dientes;dientes_exteriores;peso_bulbo_gr;longitud_bulbo_mm;ancho_bulbo_mm;num_dientes
AJO BLANCO INIA;BLANC24-01;2;T2;203;B2-203;8;172;9;9;2;11;2;2;2;2;1;48.00;49.47;57.11;6
AJO BLANCO INIA;BLANC24-01;2;T2;203;B2-203;9;172;9;9;2;11;2;2;2;2;1;62.50;53.88;55.36;9
AJO BLANCO INIA;BLANC24-01;2;T2;203;B2-203;10;172;9;9;2;12;2;2;1;2;1;67.00;44.13;61.81;9
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;1;172;9;9;2;11;2;2;1;1;1;39.00;42.24;51.18;5
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;2;172;9;9;2;11;2;2;1;1;1;45.00;33.38;53.17;6
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;3;172;9;9;2;12;2;2;1;1;1;39.50;37.78;55.02;10
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;4;172;9;9;2;11;2;2;1;1;1;54.50;37.88;54.90;12
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;5;172;9;9;2;12;2;2;1;1;1;49.50;33.40;49.27;10
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;6;172;9;9;2;11;2;2;1;1;1;46.50;36.10;50.59;13
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;7;172;9;9;2;12;2;2;1;1;1;55.50;40.82;55.74;9
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;8;172;9;9;2;9;2;2;1;1;1;50.50;33.60;48.08;6
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;9;172;9;9;2;12;2;2;1;1;1;52.00;42.18;57.39;10
AJO DONAJUS;DONA24-01;2;T1;204;B2-204;10;172;9;9;2;10;2;2;1;1;1;38.00;46.57;50.67;8
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;1;172;1;9;1;11;2;3;2;2;9;47.00;42.99;55.42;7
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;2;172;1;9;1;13;2;3;2;2;9;38.00;54.65;54.65;6
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;3;172;1;9;1;9;2;3;2;2;9;56.50;42.23;56.06;6
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;4;172;1;9;1;11;2;3;2;2;9;52.50;43.73;57.58;7
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;5;172;1;9;1;11;2;3;2;2;9;60.00;40.43;56.03;8
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;6;172;1;9;1;13;2;3;2;2;9;54.50;48.38;52.94;9
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;7;172;1;9;1;12;2;3;2;2;9;50.00;41.39;56.48;7
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;8;172;1;9;1;13;2;3;2;2;9;33.50;37.79;48.76;8
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;9;172;1;9;1;11;2;3;2;2;9;40.50;42.18;52.06;5
AJO CAÑETANO;CANT24-01;2;T6;205;B2-205;10;172;1;9;1;12;2;3;2;2;9;44.50;40.92;55.06;8
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;1;140;9;9;2;7;2;2;2;1;1;59.50;42.95;55.78;12
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;2;140;9;9;2;9;2;2;2;1;1;51.50;35.52;52.12;11
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;3;140;9;9;2;11;2;3;2;1;1;60.00;45.74;54.57;11
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;4;140;9;9;2;8;2;3;2;1;1;75.00;40.45;55.42;12
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;5;140;9;9;2;8;2;2;2;1;1;43.50;34.10;46.94;9
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;6;140;9;9;2;8;2;2;2;1;1;52.50;35.57;51.56;11
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;7;140;9;9;2;7;2;2;3;1;1;61.00;39.22;53.71;10
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;8;140;9;9;2;7;2;2;3;1;1;59.00;34.13;55.28;10
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;9;140;9;9;2;7;2;2;2;1;1;49.50;35.97;53.11;11
AJO SANTEÑO ;SANT24-01;2;T5;206;B2-206;10;140;9;9;2;9;2;2;2;1;1;48.00;33.28;50.97;11
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;1;172;1;9;2;11;2;2;2;1;1;66.00;49.88;61.12;11
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;2;172;1;9;2;11;2;2;2;1;1;32.00;37.51;48.33;8
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;3;172;1;9;2;12;2;2;2;1;1;38.00;43.07;51.03;4
AJO CAÑETANO;CANT24-01;3;T6;301;B3-301;4;172;1;9;2;13;2;2;2;1;1;35.00;41.13;49.71;3
