cultivar,entrada,bloue,tratamiento,parcela,cod_parcela,num_planta,DDS,tallo_flora_curvatura,tallo_floral_bulbillo,follaje_porte,num_hojas,forma_longitudinal,posicion_dientes_extrbulb,forma_base,distribución_dientes,dientes_exteriores,peso_bulbo_gr,longitud_bulbo_mm,ancho_bulbo_mm,num_dientes
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,9.0,172.0,1.0,9.0,2.0,9.0,2.0,2.0,2.0,1.0,1.0,39.0,40.81,54.29,4.0
AJO CHINO,CHIN24-01,2.0,T3,202.0,B2-202,10.0,172.0,1.0,9.0,2.0,10.0,2.0,2.0,2.0,1.0,1.0,70.0,40.14,59.49,5.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,1.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,1.0,2.0,9.0,70.5,50.15,67.44,11.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,2.0,172.0,9.0,9.0,2.0,13.0,2.0,2.0,1.0,2.0,9.0,57.5,46.4,65.03,9.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,3.0,172.0,9.0,9.0,2.0,13.0,2.0,2.0,1.0,2.0,1.0,96.5,53.48,72.73,13.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,4.0,172.0,9.0,9.0,2.0,10.0,2.0,2.0,1.0,2.0,9.0,64.0,48.82,59.15,8.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,5.0,172.0,9.0,9.0,2.0,13.0,2.0,2.0,1.0,2.0,1.0,77.5,51.32,64.59,13.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,6.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,1.0,2.0,1.0,40.0,40.06,50.25,7.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,7.0,172.0,9.0,9.0,2.0,14.0,2.0,2.0,1.0,2.0,1.0,67.0,52.96,62.38,10.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,8.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,2.0,2.0,1.0,48.0,49.47,57.11,6.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,9.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,2.0,2.0,1.0,62.5,53.88,55.36,9.0
AJO BLANCO INIA,BLANC24-01,2.0,T2,203.0,B2-203,10.0,172.0,9.0,9.0,2.0,12.0,2.0,2.0,1.0,2.0,1.0,67.0,44.13,61.81,9.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,1.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,39.0,42.24,51.18,5.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,2.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,45.0,33.38,53.17,6.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,3.0,172.0,9.0,9.0,2.0,12.0,2.0,2.0,1.0,1.0,1.0,39.5,37.78,55.02,10.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,4.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,54.5,37.88,54.9,12.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,5.0,172.0,9.0,9.0,2.0,12.0,2.0,2.0,1.0,1.0,1.0,49.5,33.4,49.27,10.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,6.0,172.0,9.0,9.0,2.0,11.0,2.0,2.0,1.0,1.0,1.0,46.5,36.1,50.59,13.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,7.0,172.0,9.0,9.0,2.0,12.0,2.0,2.0,1.0,1.0,1.0,55.5,40.82,55.74,9.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,8.0,172.0,9.0,9.0,2.0,9.0,2.0,2.0,1.0,1.0,1.0,50.5,33.6,48.08,6.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,9.0,172.0,9.0,9.0,2.0,12.0,2.0,2.0,1.0,1.0,1.0,52.0,42.18,57.39,10.0
AJO DONAJUS,DONA24-01,2.0,T1,204.0,B2-204,10.0,172.0,9.0,9.0,2.0,10.0,2.0,2.0,1.0,1.0,1.0,38.0,46.57,50.67,8.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,1.0,172.0,1.0,9.0,1.0,11.0,2.0,3.0,2.0,2.0,9.0,47.0,42.99,55.42,7.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,2.0,172.0,1.0,9.0,1.0,13.0,2.0,3.0,2.0,2.0,9.0,38.0,54.65,54.65,6.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,3.0,172.0,1.0,9.0,1.0,9.0,2.0,3.0,2.0,2.0,9.0,56.5,42.23,56.06,6.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,4.0,172.0,1.0,9.0,1.0,11.0,2.0,3.0,2.0,2.0,9.0,52.5,43.73,57.58,7.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,5.0,172.0,1.0,9.0,1.0,11.0,2.0,3.0,2.0,2.0,9.0,60.0,40.43,56.03,8.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,6.0,172.0,1.0,9.0,1.0,13.0,2.0,3.0,2.0,2.0,9.0,54.5,48.38,52.94,9.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,7.0,172.0,1.0,9.0,1.0,12.0,2.0,3.0,2.0,2.0,9.0,50.0,41.39,56.48,7.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,8.0,172.0,1.0,9.0,1.0,13.0,2.0,3.0,2.0,2.0,9.0,33.5,37.79,48.76,8.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,9.0,172.0,1.0,9.0,1.0,11.0,2.0,3.0,2.0,2.0,9.0,40.5,42.18,52.06,5.0
AJO CAÑETANO,CANT24-01,2.0,T6,205.0,B2-205,10.0,172.0,1.0,9.0,1.0,12.0,2.0,3.0,2.0,2.0,9.0,44.5,40.92,55.06,8.0
AJO SANTEÑO ,SANT24-01,2.0,T5,206.0,B2-206,1.0,140.0,9.0,9.0,2.0,7.0,2.0,2.0,2.0,1.0,1.0,59.5,42.95,55.78,12.0
